name,name_zh,overview,description,keywords
structure-stepwise_reveal,结构-阶段性揭示,"阶段性揭示能力或规则的结构。","随着进展，新的操作含义和交互被解锁，判断层次增加。","解锁, 进展, 揭示, 层次"
structure-loop_within_loop,结构-嵌套循环,"短期循环内嵌套中期循环的结构。","在秒级的回避或获取背后，更长的准备或布局优化在推进。","嵌套循环, 节奏, 准备, 步调"
structure-environment_mutation,结构-环境变异,"环境本身随时间或行为发生质变的结构。","玩家即使执行相同操作，环境状态也会导致不同结果。","变异, 相位转变, 适应, 地形"
structure-dilemma_tradeoff,结构-困境权衡,"收益与安全始终冲突的二律背反结构。","高得分行为伴随高风险，稳定行为的成长空间很小。","风险收益, 困境, 张力, 选择"
structure-accumulate_and_spend,结构-蓄积与消耗,"反复积累与消耗的资源循环结构。","储存则爆发力增强，使用则稳定但产生机会成本。","蓄力, 资源循环, 储蓄, 爆发"
structure-irreversible_change,结构-不可逆变化,"不可逆转的变化持续存在的不可逆结构。","行动历史对地形、敌人配置、安全区域产生永久影响。","不可逆, 历史, 承诺, 永久"
structure-spatial_memory,结构-空间记忆,"空间中留有记忆、再访时意义发生变化的结构。","已通过的路由或占有状况改变下一次的判断成本。","地图记忆, 领地, 寻路, 重访"
structure-delayed_consequence,结构-延迟后果,"行动结果延迟返回的结构。","近期有利的选择可能在数秒后引发危机。","延迟, 远见, 债务, 规划"
structure-phase_shift,结构-相位切换,"条件达成时规则相位切换的结构。","相同输入在不同阶段下角色会反转。","阶段, 模式切换, 节奏变化, 过渡"
structure-escort_and_hunt,结构-护送与猎杀,"保护对象和排除对象同时存在的结构。","非单纯歼灭，筛选和定位成为主要课题。","护送, 优先级, 目标选择, 定位"
structure-territory_pressure,结构-领域压力,"领域支配与侵蚀互相抗衡的结构。","已确保的领域随时间崩塌，需要维持行动。","区域控制, 侵蚀, 压力, 维持"
structure-chain_reaction,结构-连锁反应,"连锁反应起点管理成为主轴的结构。","比起单次行动，点火时机和布局决定成果。","连锁反应, 触发, 时机, 准备"
structure-information_asymmetry,结构-信息不对称,"利用或消除信息偏差的结构。","视野和预兆的制约左右判断质量，信息获取具有价值。","战争迷雾, 信号, 预测, 感知"
structure-opportunity_window,结构-机会窗口,"捕捉短暂好机窗口的结构。","平时准备，好机出现时一口气回收的节奏。","窗口, 爆发时机, 准备就绪, 节奏"
structure-role_reversal,结构-角色反转,"玩家与威胁的主从关系反转的结构。","一定条件下追击方与被追击方互换，判断标准改变。","反转, 力量转移, 猎杀, 追逐"
