name,name_zh,overview,description,keywords
player-rotate,玩家-旋转,"玩家角色持续旋转。","移动向量和射击方向随时间周期性变化。","离心力, 时钟, 循环, 螺旋, 雷达"
player-reciprocate,玩家-往复,"玩家角色来回移动。","在一定范围或轨迹内自动来回运动。","钟摆, 节奏, 振荡, 节拍器, 约束"
player-reflect,玩家-反射,"碰撞墙壁或物体时反弹。","基于入射角通过反射行为改变轨迹。","镜像, 台球, 光, 几何, 弹跳"
player-bounce,玩家-弹跳,"持续弹跳。","接触地面或碰撞时反弹，从不停留。","重力, 弹簧, 心跳, 不可控, 动量"
player-automatic,玩家-自动移动,"无需输入自动移动。","根据地形和规则前进；玩家无法干预或只能间接干预。","传送带, 命运, 水流, 轨道, 必然"
player-string,玩家-绳状,"具有绳状或弹簧形态。","由于多个连接段或拉伸行为产生惯性和延迟。","纽带, 张力, 蛇, 弹性, 跟随"
player-bar,玩家-条状,"具有条状形态。","有长度和旋转；碰撞检测根据角度变化。","延伸, 墙壁, 横扫, 旋转, 长度"
player-circle,玩家-圆形,"具有圆形形态。","半径可变（扩张/收缩）；接触范围动态变化。","气泡, 扩张, 轨道, 圆滑, 面积"
player-multiple,玩家-多角色,"多个角色同时存在。","通过单一输入同时控制多个实体。","蜂群, 并行, 混沌, 协调, 分身"
player-follow,玩家-跟随,"跟随主导角色。","排成队列，形成蛇状长碰撞体。","队列, 尾迹, 负担, 成长, 链条"
player-inverted,玩家-翻转,"存在翻转状态。","角色存在于屏幕对面或重力反转的世界中。","镜像, 二元性, 极性, 颠倒, 影子"
player-limited_vision,玩家-视野受限,"视野受限。","只能看到屏幕的一部分，或被黑暗包围。","黑暗, 聚光灯, 恐惧, 记忆, 未知"
player-scaffold,玩家-平台移动,"沿平台或地形移动。","无法在空中自由移动；移动取决于接触地形的形状。","建筑, 寻路, 支撑, 依赖, 接地"
player-step_on,玩家-踩踏,"从上方踩踏敌人或物体。","从高处落下接触成为攻击或行动的触发条件。","重量, 碾压, 垂直性, 优势, 马里奥式"
player-paint,玩家-涂色,"重新涂抹接触的地形或空间。","移动或行动轨迹在环境中留下永久变化。","领地, 轨迹, 标记, 污染, 艺术"
weapon-artillery,武器-抛物线,"受重力影响的抛物线轨迹。","以弧形轨迹着陆而非直线。","重力, 抛物线, 弹道, 距离感, 落差"
weapon-chase,武器-追踪,"自动追踪目标。","发射后持续修正朝向目标的轨迹。","追踪, 磁性, 捕食, 坚持, 制导"
